SeatNumber,Counts,UseTime_m,AvgUseTime,DoorDistance,DoorRange,Corridor,Path,Table,Wall,AC
1,219,41832.98333,191.0181887,6070.221166,0,0,0,8,2,0
2,114,21770.16667,190.9663743,6070.221166,0,0,0,8,1,0
3,103,21710.86667,210.7851133,6070.221166,0,0,0,8,1,0
4,106,19999.43333,188.6738994,6070.221166,0,0,0,8,0,0
5,123,23771.7,193.2658537,6070.221166,0,0,0,8,1,1
6,68,12939.41667,190.2855392,6070.221166,0,0,0,8,0,1
7,185,35160.18333,190.055045,6070.221166,0,0,1,8,1,1
8,88,15825.15,179.83125,6070.221166,0,0,1,8,0,1
9,218,41372.03333,189.7799694,5241.296023,0,0,1,8,1,1
10,89,15824.7,177.805618,5241.296023,0,0,1,8,0,1
11,93,17642.78333,189.7073477,5241.296023,0,0,0,8,1,1
12,95,18316.46667,192.8049123,5241.296023,0,0,0,8,0,1
13,122,26516.35,217.3471311,5241.296023,0,0,0,8,1,0
14,41,6847.55,167.0134146,5241.296023,0,0,0,8,0,0
15,155,29950.31667,193.2278495,5241.296023,0,0,0,8,1,0
16,128,24811.43333,193.8393229,5241.296023,0,0,0,8,0,0
18,170,26757.56667,157.397451,5028.000099,0,0,0,4,0,0
20,255,47873.21667,187.7381046,5028.000099,0,0,0,4,1,0
21,145,30438.03333,209.9174713,5628.678886,0,0,0,8,1,0
22,140,26606.26667,190.0447619,5628.678886,0,0,0,8,1,0
23,52,10626.1,204.3480769,5628.678886,0,0,0,8,0,0
24,89,18135.96667,203.7749064,5628.678886,0,0,0,8,0,0
25,210,51390.81667,244.7181746,5628.678886,0,0,0,8,0,1
26,37,6766.1,182.8675676,5628.678886,0,0,0,8,0,1
27,45,9070.433333,201.5651852,5628.678886,0,0,1,8,0,1
28,102,20651.98333,202.4704248,5628.678886,0,0,1,8,0,1
29,87,16750.65,192.5362069,4722.883124,0,0,1,8,0,1
30,112,22755.66667,203.1755952,4722.883124,0,0,1,8,0,1
31,92,18014.51667,195.8099638,4722.883124,0,0,0,8,0,1
32,94,19138.73333,203.6035461,4722.883124,0,0,0,8,0,1
33,93,17893.65,192.4048387,4722.883124,0,0,0,8,0,0
34,75,14846.13333,197.9484444,4722.883124,0,0,0,8,0,0
35,145,28406.28333,195.9054023,4722.883124,0,0,0,8,0,0
36,122,24675.2,202.2557377,4722.883124,0,0,0,8,0,0
37,151,32965.6,218.3152318,4485.000111,0,0,0,4,0,0
38,151,28314.71667,187.5146799,4485.000111,0,0,0,4,0,0
39,156,26502.65,169.8887821,4485.000111,0,0,0,4,1,0
40,207,34806.56667,168.1476651,4485.000111,0,0,0,4,1,0
41,164,30487.55,185.8996951,5236.709368,0,0,0,8,1,0
42,153,29043.41667,189.8262527,5236.709368,0,0,0,8,1,0
43,93,16286.73333,175.1261649,5236.709368,0,0,0,8,0,0
44,84,17596,209.4761905,5236.709368,0,0,0,8,0,0
45,103,22016.41667,213.7516181,5236.709368,0,0,0,8,0,1
46,80,13691.31667,171.1414583,5236.709368,0,0,0,8,0,1
47,91,16430.76667,180.5578755,5236.709368,0,0,1,8,0,1
48,111,21546.18333,194.1097598,5236.709368,0,0,1,8,0,1
49,124,24610.3,198.4701613,3701.735944,0,0,1,8,0,1
50,107,17438.51667,162.9767913,3701.735944,0,0,1,8,0,1
51,79,15157,191.8607595,3701.735944,0,0,0,8,0,1
52,119,25022.95,210.2768908,3701.735944,0,0,0,8,0,1
53,88,17302.15,196.6153409,3701.735944,0,0,0,8,0,0
54,53,10309.41667,194.5172956,3701.735944,0,0,0,8,0,0
55,152,27277.18333,179.4551535,3701.735944,0,0,0,8,0,0
56,171,34046.25,199.1008772,3701.735944,0,0,0,8,0,0
57,114,19131.01667,167.8159357,3982.000126,0,0,0,4,0,0
58,252,45678.18333,181.2626323,3982.000126,0,0,0,4,0,0
59,196,36260.7,185.0035714,3982.000126,0,0,0,4,1,0
60,158,27842.26667,176.2168776,3982.000126,0,0,0,4,1,0
61,164,31209.81667,190.3037602,4804.086802,0,0,0,8,1,0
62,186,34947.43333,187.8894265,4804.086802,0,0,0,8,1,0
63,80,14549.28333,181.8660417,4804.086802,0,0,0,8,0,0
64,129,25209.15,195.4197674,4804.086802,0,0,0,8,0,0
65,85,17167.93333,201.9756863,4804.086802,0,0,0,8,0,1
66,82,14971.36667,182.5776423,4804.086802,0,0,0,8,0,1
67,121,22537.26667,186.2584022,4804.086802,0,0,1,8,0,1
68,128,25281.35,197.5105469,4804.086802,0,0,1,8,0,1
69,118,22921.03333,194.2460452,3701.735944,0,0,1,8,0,1
70,103,19299,187.368932,3701.735944,0,0,1,8,0,1
71,94,18063.36667,192.1634752,3701.735944,0,0,0,8,0,1
72,96,17928.85,186.7588542,3701.735944,0,0,0,8,0,1
73,101,20024.41667,198.2615512,3701.735944,0,0,0,8,0,0
74,113,22071.96667,195.3271386,3701.735944,0,0,0,8,0,0
75,137,26583.48333,194.0400243,3701.735944,0,0,0,8,0,0
76,175,32842.73333,187.6727619,3701.735944,0,0,0,8,0,0
77,140,25439.53333,181.7109524,3393.000147,0,0,0,4,0,0
78,170,33694.6,198.2035294,3393.000147,0,0,0,4,0,0
79,203,37554.86667,184.9993432,3393.000147,0,0,0,4,1,0
80,187,33138.88333,177.2132799,3393.000147,0,0,0,4,1,0
81,160,32483.48333,203.0217708,4436.620561,0,0,0,8,1,0
82,189,37519.4,198.5153439,4436.620561,0,0,0,8,1,0
83,86,16868.65,196.147093,4436.620561,0,0,0,8,0,0
84,93,19099.36667,205.3695341,4436.620561,0,0,0,8,0,0
85,107,21427.63333,200.2582555,4436.620561,0,0,0,8,0,1
86,113,22678.81667,200.6974926,4436.620561,0,0,0,8,0,1
87,110,21960.6,199.6418182,4436.620561,0,0,1,8,0,1
88,120,24762.16667,206.3513889,4436.620561,0,0,1,8,0,1
89,123,23169.56667,188.3704607,3210.482985,0,0,1,8,0,1
90,143,28079.01667,196.3567599,3210.482985,0,0,1,8,0,1
91,110,22924.91667,208.4083333,3210.482985,0,0,0,8,0,1
92,40,6318.516667,157.9629167,3210.482985,0,0,0,8,0,1
93,35,6638.95,189.6842857,3210.482985,0,0,0,8,0,0
94,299,64385.3,215.3354515,3210.482985,0,0,0,8,0,0
95,155,30060.65,193.9396774,3210.482985,0,0,0,8,0,0
96,67,12120.8,180.9074627,3210.482985,0,0,0,8,0,0
97,176,33488.23333,190.274053,3393.000147,0,0,0,4,0,0
98,154,29185.61667,189.5169913,3393.000147,0,0,0,4,0,0
99,186,34109.06667,183.3820789,3393.000147,0,0,0,4,1,0
100,232,41462.51667,178.7177443,3393.000147,0,0,0,4,1,0
101,166,32483.36667,195.6829317,4105.143359,0,0,0,8,1,0
102,170,31343.18333,184.3716667,4105.143359,0,0,0,8,1,0
103,70,13922.58333,198.8940476,4105.143359,0,0,0,8,0,0
104,129,26848.15,208.1251938,4105.143359,0,0,0,8,0,0
105,111,24489.31667,220.6244745,4105.143359,0,0,0,8,0,1
106,107,18995.4,177.5271028,4105.143359,0,0,0,8,0,1
107,114,22290.71667,195.5326023,4105.143359,0,0,1,8,0,1
108,124,24480.08333,197.4200269,4105.143359,0,0,1,8,0,1
109,142,26523.66667,186.786385,2734.191105,0,0,1,8,0,1
110,144,27820.51667,193.1980324,2734.191105,0,0,1,8,0,1
111,106,20748.51667,195.7407233,2734.191105,0,0,0,8,0,1
112,101,18750.63333,185.649835,2734.191105,0,0,0,8,0,1
113,80,12137.01667,151.7127083,2734.191105,0,0,0,8,0,0
114,110,21783.4,198.0309091,2734.191105,0,0,0,8,0,0
115,140,28217.28333,201.5520238,2734.191105,0,0,0,8,0,0
116,215,42943.35,199.7365116,2734.191105,0,0,0,8,0,0
117,165,31445,190.5757576,2299.000217,0,0,0,4,0,0
118,152,24872.56667,163.635307,2299.000217,0,0,0,4,0,0
119,142,20602.35,145.0869718,2299.000217,0,0,0,4,1,0
120,279,52319.13333,187.5237754,2299.000217,0,0,0,4,1,0
121,171,34579.61667,202.2199805,3822.085426,0,0,0,8,1,0
122,178,35016.81667,196.7236891,3822.085426,0,0,0,8,1,0
123,70,13826.18333,197.5169048,3822.085426,0,0,0,8,0,0
124,122,24663.6,202.1606557,3822.085426,0,0,0,8,0,0
125,110,21547.4,195.8854545,3822.085426,0,0,0,8,0,1
126,127,21257.53333,167.3821522,3822.085426,0,0,0,8,0,1
127,138,24549.66667,177.8961353,3822.085426,0,0,1,8,0,1
128,131,25666.2,195.9251908,3822.085426,0,0,1,8,0,1
129,135,24330.93333,180.2291358,2287.342563,0,0,1,8,0,1
130,155,31560.55,203.6164516,2287.342563,0,0,1,8,0,1
131,103,20906.61667,202.9768608,2287.342563,0,0,0,8,0,1
132,97,17539.01667,180.8146048,2287.342563,0,0,0,8,0,1
133,92,15710.61667,170.7675725,2287.342563,0,0,0,8,0,0
134,190,29823.11667,156.9637719,2287.342563,0,0,0,8,0,0
135,183,32714.58333,178.7682149,2287.342563,0,0,0,8,0,0
136,146,29334.41667,200.9206621,2287.342563,0,0,0,8,0,0
137,140,27562.61667,196.8758333,1744.000287,0,0,0,4,0,0
138,134,25345.6,189.1462687,1744.000287,0,0,0,4,0,0
139,140,24948.36667,178.202619,1744.000287,0,0,0,4,1,0
140,280,50896.5,181.7732143,1744.000287,0,0,0,4,1,0
141,173,32157.03333,185.8788054,3739.146427,0,0,0,10,2,0
142,230,41471.91667,180.3126812,3739.146427,0,0,0,10,1,0
143,106,19385.35,182.8806604,3739.146427,0,0,0,10,0,0
144,111,20673.73333,186.2498498,3739.146427,0,0,0,10,0,0
145,93,16923.51667,181.9732975,3739.146427,0,0,0,10,0,0
146,94,15762.01667,167.6810284,3739.146427,0,0,0,10,0,0
147,101,17890.36667,177.1323432,3739.146427,0,0,0,10,0,1
148,132,25791.63333,195.3911616,3739.146427,0,0,0,10,0,1
149,113,19460.36667,172.2156342,3739.146427,0,0,1,10,0,1
150,144,24847.86667,172.5546296,3739.146427,0,0,1,10,0,1
151,117,22598.7,193.1512821,1907.882596,0,0,1,8,0,1
152,139,26287.93333,189.1218225,1907.882596,0,0,1,8,0,1
153,89,18561.66667,208.5580524,1907.882596,0,0,0,8,0,1
154,117,21317.91667,182.204416,1907.882596,0,0,0,8,0,1
155,136,26130.51667,192.136152,1907.882596,0,0,0,8,0,0
156,82,15559.96667,189.7556911,1907.882596,0,0,0,8,0,0
157,83,15457.11667,186.2303213,1907.882596,0,0,0,8,0,0
158,193,38557.01667,199.7772884,1907.882596,0,0,0,8,0,0
159,119,23758.88333,199.6544818,1204.000415,1,0,0,4,0,0
160,120,22643.03333,188.6919444,1204.000415,1,0,0,4,0,0
161,131,23212.4,177.1938931,1204.000415,1,0,0,4,1,0
162,267,50434.71667,188.8940699,1204.000415,1,0,0,4,1,0
163,145,27307.45,188.3272414,3599.542193,0,0,0,10,1,0
164,235,46918.93333,199.6550355,3599.542193,0,0,0,10,1,0
165,87,16209.96667,186.3214559,3599.542193,0,0,0,10,0,0
166,89,17654.88333,198.3694757,3599.542193,0,0,0,10,0,0
167,100,20077.56667,200.7756667,3599.542193,0,0,0,10,0,0
168,103,19476.26667,189.0899676,3599.542193,0,0,0,10,0,0
169,94,16929.36667,180.0996454,3599.542193,0,0,0,10,0,1
170,94,18972.03333,201.8301418,3599.542193,0,0,0,10,0,1
171,122,23657.38333,193.9129781,3599.542193,0,0,1,10,0,1
172,134,24932.53333,186.0636816,3599.542193,0,0,1,10,0,1
173,124,19414.56667,156.569086,1617.25199,0,0,1,8,0,1
174,174,28936.05,166.2991379,1617.25199,0,0,1,8,0,1
175,86,15383.78333,178.8812016,1617.25199,0,0,0,8,0,1
176,91,13726.7,150.8428571,1617.25199,0,0,1,8,0,1
177,55,10584.23333,192.4406061,1617.25199,0,0,0,8,0,0
178,95,15859.23333,166.9392982,1617.25199,0,0,1,8,0,0
179,112,19212.83333,171.5431548,1617.25199,0,0,0,8,0,0
180,168,28812.08333,171.500496,1617.25199,0,0,1,8,0,0
181,125,20586.16667,164.6893333,652.0007669,1,0,0,4,0,0
182,78,14560.81667,186.6771368,652.0007669,1,0,1,4,0,0
183,105,17422.93333,165.9326984,652.0007669,1,0,0,4,1,0
184,259,48184.58333,186.0408623,652.0007669,1,0,1,4,1,0
185,143,24983.91667,174.712704,3541.469187,0,0,0,10,1,0
186,247,42837.75,173.4321862,3541.469187,0,0,0,10,1,0
187,93,17700.61667,190.3292115,3541.469187,0,0,0,10,0,0
188,91,17338.43333,190.5322344,3541.469187,0,0,0,10,0,0
189,90,17421.98333,193.5775926,3541.469187,0,0,0,10,0,0
190,100,17455.91667,174.5591667,3541.469187,0,0,0,10,0,0
191,83,16370.21667,197.2315261,3541.469187,0,0,0,10,0,1
192,87,16371.66667,188.1800766,3541.469187,0,0,0,10,0,1
193,110,18918.25,171.9840909,3541.469187,0,0,1,10,0,1
194,180,31806.3,176.7016667,3541.469187,0,0,1,10,0,1
195,174,28445.71667,163.4811303,3061.167261,0,0,0,10,1,0
196,258,43362.83333,168.0729974,3061.167261,0,0,0,10,1,0
197,109,20360.33333,186.7920489,3061.167261,0,0,0,10,0,0
198,87,15316.08333,176.0469349,3061.167261,0,0,0,10,0,0
199,91,16755.13333,184.1223443,3061.167261,0,0,0,10,0,0
200,114,20495.21667,179.7826023,3061.167261,0,0,0,10,0,0
201,85,19327.51667,227.382549,3061.167261,0,0,0,10,0,1
202,73,13539.01667,185.4659817,3061.167261,0,0,0,10,0,1
203,112,18861.98333,168.4105655,3061.167261,0,0,1,10,0,1
204,168,31853.35,189.6032738,3061.167261,0,0,1,10,0,1
205,174,31141.03333,178.9714559,1036.768537,1,1,1,6,0,1
206,151,27090.08333,179.4045254,1036.768537,1,1,1,6,0,1
207,24,3152.466667,131.3527778,1036.768537,1,1,1,6,0,0
208,77,13329.71667,173.1132035,1036.768537,1,1,0,6,0,0
209,166,27233.08333,164.0547189,1036.768537,1,1,1,6,1,0
210,120,20196.58333,168.3048611,1036.768537,1,1,0,6,1,0
211,153,26624.18333,174.0142702,2989.010706,0,0,0,10,1,0
212,246,46221.18333,187.8909892,2989.010706,0,0,0,10,1,0
213,103,19197.71667,186.3855987,2989.010706,0,0,0,10,0,0
214,88,16775.66667,190.6325758,2989.010706,0,0,0,10,0,0
215,103,19812.1,192.3504854,2989.010706,0,0,0,10,0,0
216,140,29429.83333,210.2130952,2989.010706,0,0,0,10,0,0
217,97,18661.75,192.3891753,2989.010706,0,0,0,10,0,1
218,87,15737.36667,180.889272,2989.010706,0,0,0,10,0,1
219,93,17587.2,189.1096774,2989.010706,0,0,1,10,0,1
220,180,34148.61667,189.714537,2989.010706,0,0,1,10,0,1
221,124,23117.7,186.4330645,798.9549424,1,1,1,6,0,1
222,179,30023.45,167.7287709,798.9549424,1,1,1,6,0,1
223,58,10832.43333,186.766092,798.9549424,1,1,0,6,0,0
224,75,14868.36667,198.2448889,798.9549424,1,1,0,6,0,0
225,124,23763.48333,191.6409946,798.9549424,1,1,0,6,1,0
226,148,24397.18333,164.8458333,798.9549424,1,1,0,6,1,0
227,160,29523.98333,184.5248958,2994.621846,0,0,0,10,1,0
228,376,57827.93333,153.797695,2994.621846,0,0,0,10,1,0
229,112,22077.35,197.1191964,2994.621846,0,0,0,10,0,0
230,78,13988.98333,179.3459402,2994.621846,0,0,0,10,0,0
231,80,15323.2,191.54,2994.621846,0,0,0,10,0,0
232,129,25017.61667,193.9350129,2994.621846,0,0,0,10,0,0
233,109,20751.65,190.3821101,2994.621846,0,0,0,10,0,1
234,79,13560.96667,171.6578059,2994.621846,0,0,0,10,0,1
235,99,16930.5,171.0151515,2994.621846,0,0,1,10,0,1
236,189,34879,184.5449735,2994.621846,0,0,1,10,0,1
237,100,17840.3,178.403,819.6975052,1,1,1,6,0,1
238,194,34815.46667,179.4611684,819.6975052,1,1,1,6,0,1
239,62,11907.5,192.0564516,819.6975052,1,1,0,6,0,0
240,69,12929.48333,187.3838164,819.6975052,1,1,0,6,0,0
241,113,19765.4,174.9150442,819.6975052,1,1,0,6,1,0
242,194,34556.26667,178.1250859,819.6975052,1,1,0,6,1,0
243,101,19862.16667,196.6551155,3063.187882,0,0,0,10,1,0
244,363,65739.43333,181.1003673,3122.898814,0,0,0,10,1,0
245,121,25134.83333,207.7258953,3063.187882,0,0,0,10,0,0
246,89,17440.01667,195.9552434,3122.898814,0,0,0,10,0,0
247,79,14476.21667,183.2432489,3063.187882,0,0,0,10,0,0
248,142,27896.36667,196.4532864,3122.898814,0,0,0,10,0,0
249,141,27394.63333,194.2881797,3063.187882,0,0,0,10,0,1
250,93,16608.45,178.5854839,3122.898814,0,0,0,10,0,1
251,102,17896.1,175.4519608,3063.187882,0,0,1,10,0,1
252,194,34560.83333,178.1486254,3122.898814,0,0,1,10,0,1
253,102,19335.2,189.5607843,1042.719521,1,1,1,6,0,1
254,215,42564.61667,197.9749612,1206.913833,1,1,1,6,0,1
255,62,12493.61667,201.5099462,1042.719521,1,1,0,6,0,0
256,64,12426.43333,194.1630208,1206.913833,1,1,0,6,0,0
257,86,14294.13333,166.2108527,1042.719521,1,1,0,6,1,0
258,258,48532.43333,188.1102067,1206.913833,1,1,0,6,1,0
259,104,21000.43333,201.9272436,3025.600106,0,0,0,10,1,0
260,353,61522.61667,174.2850331,3025.600106,0,0,0,10,1,0
261,156,34081.08333,218.4684829,3025.600106,0,0,0,10,0,0
262,72,12666.26667,175.9203704,3025.600106,0,0,0,10,0,0
263,88,17244.81667,195.9638258,3025.600106,0,0,0,10,0,0
264,160,27657.65,172.8603125,3025.600106,0,0,0,10,0,0
265,115,24588.58333,213.8137681,3025.600106,0,0,0,10,0,1
266,82,15303.31667,186.625813,3025.600106,0,0,0,10,0,1
267,103,20121.65,195.3558252,3025.600106,0,0,1,10,0,1
268,236,41158.23333,174.3992938,3025.600106,0,0,1,10,0,1
269,112,16606.16667,148.2693452,926.4987858,1,1,1,6,0,1
270,217,34611.96667,159.5021505,926.4987858,1,1,1,6,0,1
271,73,13055.68333,178.8449772,926.4987858,1,1,0,6,0,0
272,99,16220.61667,163.8446128,926.4987858,1,1,0,6,0,0
273,137,26975.86667,196.9041363,926.4987858,1,1,0,6,1,0
274,261,40182.51667,153.9560026,926.4987858,1,1,0,6,1,0
275,113,20466.45,181.1190265,2984.000168,0,0,0,10,1,0
276,510,86907.78333,170.4074183,2984.000168,0,0,0,10,2,0
277,128,23912.3,186.8148438,2984.000168,0,0,0,10,0,0
278,125,19001.51667,152.0121333,2984.000168,0,0,0,10,1,0
279,113,20253.8,179.2371681,2984.000168,0,0,0,10,0,0
280,140,24952.51667,178.2322619,2984.000168,0,0,0,10,1,0
281,75,14695.55,195.9406667,2984.000168,0,0,0,10,0,1
282,256,56236.63333,219.674349,2984.000168,0,0,0,10,1,1
283,132,20733.35,157.0708333,2984.000168,0,0,1,10,0,1
284,201,32985.16667,164.1053068,2984.000168,0,0,1,10,1,1
285,119,18926.63333,159.0473389,780.000641,1,1,1,6,0,1
286,273,41023.3,150.2684982,780.000641,1,1,1,6,1,1
287,61,9602.483333,157.4177596,780.000641,1,1,0,6,0,0
288,122,20924.43333,171.5117486,780.000641,1,1,1,6,1,0
289,114,20353.43333,178.5388889,780.000641,1,1,1,6,0,0
290,189,29602.98333,156.6295414,780.000641,1,1,0,6,1,0
